experiment,pavloviaSessionId,posixTimeSec,cursorPositionXYPx,crosshairPositionXYPx,targetPositionXYPx,blockNumber,block_condition,conditionNumber,conditionName,trialNumber,pxPerCm,viewingDistanceCm,screenWidthPx,screenHeightPx,nearpointXYPx,trialStep,targetBool,crosshairBool
trackingdemo5,SpicyYellowCake312,1738628116.635,"742,453","753,454",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.651,"742,453","753,453",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.685,"742,453","752,453",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.699,"742,453","752,453",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.716,"742,453","752,453",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.752,"742,453","752,452",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.763,"742,453","752,452",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.778,"742,453","752,452",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.818,"742,453","752,451",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.826,"742,453","752,451",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.845,"742,453","751,451",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.884,"742,453","751,450",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.1,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.894,"742,453","751,450",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.91,"742,453","751,450",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.951,"742,453","751,449",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.959,"742,453","751,449",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
trackingdemo5,SpicyYellowCake312,1738628116.977,"742,453","750,449",,4,4_1,1,Flies_8deg,1,51.39860139860139,42.2,1470,919,"735,459",trialInstructionRoutineEachFrame,FALSE,TRUE
