Subject,Date,Condition,Meridian,Device,ScreenWidth,distanceByBlindspot,Threshold,Bouma,GoodThreshold_bool
1,2025-07-03,Stationary,left,Windows,34.9,115.3827295,3.37905661267092,0.337905661267092,1
1,2025-07-03,Stationary,right,Windows,34.9,115.3827295,1.33762869579606,0.133762869579606,1
1,2025-07-03,Dynamic,left,Windows,34.9,115.3827295,4.73020107007982,0.473020107007982,1
1,2025-07-03,Dynamic,right,Windows,34.9,115.3827295,1.64567747185604,0.164567747185604,1
1,2025-07-03,Flies,left,Windows,34.9,115.3827295,7.63775460985264,0.763775460985264,1
1,2025-07-03,Flies,right,Windows,34.9,115.3827295,3.58222262891869,0.358222262891869,1
2,2025-07-02,Stationary,left,Windows,30.5,100.6357697,6.95195465965208,0.695195465965208,1
2,2025-07-02,Stationary,right,Windows,30.5,100.6357697,3.25476481879822,0.325476481879822,1
2,2025-07-02,Dynamic,left,Windows,30.5,100.6357697,10.5155148492745,1.05155148492745,1
2,2025-07-02,Dynamic,right,Windows,30.5,100.6357697,6.84882243999819,0.684882243999819,1
2,2025-07-02,Flies,left,Windows,30.5,100.6357697,6.73544065527168,0.673544065527168,1
2,2025-07-02,Flies,right,Windows,30.5,100.6357697,5.55297128888934,0.555297128888934,1
3,2025-07-02,Stationary,left,OS X,33.4,39.23424592,4.3809293551323,0.43809293551323,1
3,2025-07-02,Stationary,right,OS X,33.4,39.23424592,3.13598481438011,0.313598481438011,1
3,2025-07-02,Dynamic,left,OS X,33.4,39.23424592,4.30660340067622,0.430660340067622,1
3,2025-07-02,Dynamic,right,OS X,33.4,39.23424592,4.74430495624584,0.474430495624584,1
3,2025-07-02,Flies,left,OS X,33.4,39.23424592,5.24190634116484,0.524190634116484,1
3,2025-07-02,Flies,right,OS X,33.4,39.23424592,9.37315813303412,0.937315813303412,1
4,2025-07-02,Stationary,left,Windows,15.8,51.4,4.99999999613144,0.499999999613144,0
4,2025-07-02,Stationary,right,Windows,15.8,51.4,4.99999999613144,0.499999999613144,0
4,2025-07-02,Dynamic,left,Windows,15.8,51.4,4.99999999613144,0.499999999613144,0
4,2025-07-02,Dynamic,right,Windows,15.8,51.4,4.99999999613144,0.499999999613144,0
4,2025-07-02,Flies,left,Windows,15.8,51.4,4.99999999613144,0.499999999613144,0
4,2025-07-02,Flies,right,Windows,15.8,51.4,4.99999999613144,0.499999999613144,0
5,2025-07-02,Stationary,left,Windows,34.5,113.5856827,6.78973154001594,0.678973154001594,1
5,2025-07-02,Stationary,right,Windows,34.5,113.5856827,5.17446431215438,0.517446431215438,1
5,2025-07-02,Dynamic,left,Windows,34.5,113.5856827,7.86115549898593,0.786115549898593,1
5,2025-07-02,Dynamic,right,Windows,34.5,113.5856827,5.37187081467096,0.537187081467096,1
5,2025-07-02,Flies,left,Windows,34.5,113.5856827,10.0103923346212,1.00103923346212,1
5,2025-07-02,Flies,right,Windows,34.5,113.5856827,5.70545864748858,0.570545864748858,1
6,2025-07-02,Stationary,left,OS X,28.4,93.78171623,114.522034046321,11.4522034046321,1
6,2025-07-02,Stationary,right,OS X,28.4,93.78171623,5.18399796048245,0.518399796048245,1
6,2025-07-02,Dynamic,left,OS X,28.4,93.78171623,21.5685846380055,2.15685846380055,1
6,2025-07-02,Dynamic,right,OS X,28.4,93.78171623,5.86697649100049,0.586697649100049,1
6,2025-07-02,Flies,left,OS X,28.4,93.78171623,26.2777397411308,2.62777397411308,1
6,2025-07-02,Flies,right,OS X,28.4,93.78171623,6.24232553185618,0.624232553185618,1
7,2025-07-01,Stationary,left,Windows,52.6,44.92095102,5.30124097363582,0.530124097363582,1
7,2025-07-01,Stationary,right,Windows,52.6,44.92095102,1.52368518196878,0.152368518196878,1
7,2025-07-01,Dynamic,left,Windows,52.6,44.92095102,6.66147280107452,0.666147280107452,1
7,2025-07-01,Dynamic,right,Windows,52.6,44.92095102,1.99442654125373,0.199442654125373,1
7,2025-07-01,Flies,left,Windows,52.6,44.92095102,8.40274163130464,0.840274163130464,1
