experiment,pavloviaSessionId,posixTimeSec,cursorPositionXYPx,crosshairPositionXYPx,targetPositionXYPx,blockNumber,block_condition,conditionNumber,conditionName,trialNumber,pxPerCm,viewingDistanceCm,screenWidthPx,screenHeightPx,nearpointXYPx,trialStep,targetBool,crosshairBool
displacefixationgravflies2,HappySkyShark824,1711297350.912,"2579,1422","2584,1422",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297350.927,"2578,1422","2584,1421",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297350.944,"2578,1422","2584,1421",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297350.959,"2577,1422","2584,1421",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297350.975,"2576,1422","2583,1420",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297350.992,"2576,1422","2583,1420",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.007,"2576,1421","2583,1420",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.023,"2576,1421","2583,1420",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.04,"2575,1421","2582,1419",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.057,"2574,1421","2582,1419",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.073,"2574,1421","2582,1419",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.09,"2573,1421","2581,1418",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.107,"2573,1420","2581,1418",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.123,"2573,1420","2581,1418",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.139,"2573,1420","2581,1417",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.157,"2572,1419","2580,1417",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.172,"2571,1419","2580,1417",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.183,"2571,1419","2580,1417",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.199,"2571,1419","2580,1417",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.215,"2570,1419","2579,1416",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.231,"2570,1418","2579,1416",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.248,"2569,1418","2579,1416",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
displacefixationgravflies2,HappySkyShark824,1711297351.263,"2569,1418","2578,1416",,40,40_1,1,GravFlies_Left1Deg,3,87.37201365187713,40,5120,2880,"2560,1440",trialInstructionRoutineEachFrame,FALSE,FALSE
